2025-07-25 12:06:42 | ERROR    | backend.main | WebSocket error: no close frame received or sent
2025-07-25 12:22:18 | ERROR    | backend.main | WebSocket error: no close frame received or sent
2025-07-25 12:23:02 | ERROR    | backend.main | WebSocket error: no close frame received or sent
2025-07-25 13:32:18 | ERROR    | backend.main | [AutoParamAdjuster] Ошибка автокоррекции: Cannot connect to host localhost:8000 ssl:default [Удаленный компьютер отклонил это сетевое подключение]
2025-07-25 13:34:57 | ERROR    | backend.main | WebSocket error: no close frame received or sent
2025-07-25 14:15:13 | ERROR    | backend.main | [AutoParamAdjuster] Ошибка автокоррекции: Cannot connect to host localhost:8000 ssl:default [Удаленный компьютер отклонил это сетевое подключение]
2025-07-25 14:19:56 | ERROR    | backend.main | WebSocket error: no close frame received or sent
2025-07-25 14:27:44 | ERROR    | backend.main | [AutoParamAdjuster] Ошибка автокоррекции: Cannot connect to host localhost:8000 ssl:default [Удаленный компьютер отклонил это сетевое подключение]
2025-07-25 14:36:05 | ERROR    | backend.main | WebSocket error: no close frame received or sent
2025-07-25 14:52:06 | ERROR    | backend.main | [AutoParamAdjuster] Ошибка автокоррекции: Cannot connect to host localhost:8000 ssl:default [Удаленный компьютер отклонил это сетевое подключение]
2025-07-25 14:54:12 | ERROR    | backend.integrations.bybit_client | ❌ Error fetching kline data for DOGEUSDT: HTTPSConnectionPool(host='api-demo.bybit.com', port=443): Max retries exceeded with url: /v5/market/kline?category=linear&interval=15&limit=200&symbol=DOGEUSDT (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))
2025-07-25 14:55:39 | ERROR    | backend.integrations.bybit_client | ❌ Error fetching kline data for BTCUSDT: HTTPSConnectionPool(host='api-demo.bybit.com', port=443): Max retries exceeded with url: /v5/market/kline?category=linear&interval=15&limit=200&symbol=BTCUSDT (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))
2025-07-25 15:05:13 | ERROR    | backend.main | WebSocket error: no close frame received or sent
2025-07-25 15:11:10 | ERROR    | backend.integrations.bybit_client | ❌ Error fetching kline data for BNBUSDT: HTTPSConnectionPool(host='api-demo.bybit.com', port=443): Max retries exceeded with url: /v5/market/kline?category=linear&interval=5&limit=200&symbol=BNBUSDT (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))
2025-07-25 15:11:28 | ERROR    | backend.main | WebSocket error: no close frame received or sent
2025-07-25 15:15:44 | ERROR    | backend.main | WebSocket error: no close frame received or sent
2025-07-25 15:17:41 | ERROR    | backend.main | WebSocket error: no close frame received or sent
2025-07-25 15:25:05 | ERROR    | backend.main | WebSocket error: no close frame received or sent
2025-07-25 15:28:38 | ERROR    | backend.main | [AutoParamAdjuster] Ошибка автокоррекции: Connection timeout to host http://localhost:8000/api/auto-adjust-params?symbol=BTCUSDT&limit=50
2025-07-25 15:30:59 | ERROR    | backend.main | WebSocket error: no close frame received or sent
