2025-06-25 06:50:25 | INFO     | backend.integrations.bybit_client | ✅ Retrieved real balance: {'BTC': {'available': 0.0, 'locked': 0.0, 'total': 5.991e-05}, 'ETH': {'available': 0.0, 'locked': 0.0, 'total': 0.00267785}, 'USDT': {'available': 0.0, 'locked': 0.0, 'total': 6934.8791385}, 'BNB': {'available': 0.0, 'locked': 0.0, 'total': 0.02168264}}
2025-06-25 06:50:25 | INFO     | backend.integrations.bybit_client | 📈 Fetching real positions...
2025-06-25 06:50:25 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 0 active positions
2025-06-25 06:50:25 | INFO     | backend.core.signal_processor | 📊 Generating signals for BTCUSDT 5
2025-06-25 06:50:25 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BTCUSDT 5
2025-06-25 06:50:25 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 5 → 5
2025-06-25 06:50:25 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for BTCUSDT
2025-06-25 06:50:25 | INFO     | backend.core.signal_processor | ✅ Generated 11 signals for BTCUSDT 5
2025-06-25 06:50:25 | INFO     | backend.core.signal_processor | 📊 Generating signals for ETHUSDT 5
2025-06-25 06:50:25 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for ETHUSDT 5
2025-06-25 06:50:25 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 5 → 5
2025-06-25 06:50:26 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for ETHUSDT
2025-06-25 06:50:26 | INFO     | backend.core.signal_processor | ✅ Generated 11 signals for ETHUSDT 5
2025-06-25 06:50:26 | INFO     | backend.core.signal_processor | 📊 Generating signals for SOLUSDT 5
2025-06-25 06:50:26 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for SOLUSDT 5
2025-06-25 06:50:26 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 5 → 5
2025-06-25 06:50:26 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for SOLUSDT
2025-06-25 06:50:26 | INFO     | backend.core.signal_processor | ✅ Generated 11 signals for SOLUSDT 5
2025-06-25 06:50:26 | INFO     | backend.core.signal_processor | 📊 Generating signals for BNBUSDT 5
2025-06-25 06:50:26 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BNBUSDT 5
2025-06-25 06:50:26 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 5 → 5
2025-06-25 06:50:26 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for BNBUSDT
2025-06-25 06:50:26 | INFO     | backend.core.signal_processor | ✅ Generated 11 signals for BNBUSDT 5
2025-06-25 06:50:29 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BTCUSDT 5
2025-06-25 06:50:29 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 5 → 5
2025-06-25 06:50:29 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 200 real candles for BTCUSDT
2025-06-25 06:50:29 | INFO     | backend.core.signal_processor | 📊 Generating signals for BTCUSDT 5
2025-06-25 06:50:29 | INFO     | backend.core.trading_engine | BTCUSDT: Покупка: 3, Продажа: 2, Удержание: 6
2025-06-25 06:50:29 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for ETHUSDT 5
2025-06-25 06:50:29 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 5 → 5
2025-06-25 06:50:29 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 200 real candles for ETHUSDT
2025-06-25 06:50:29 | INFO     | backend.core.signal_processor | 📊 Generating signals for ETHUSDT 5
2025-06-25 06:50:29 | INFO     | backend.core.trading_engine | ETHUSDT: Покупка: 1, Продажа: 4, Удержание: 6
2025-06-25 06:50:29 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for SOLUSDT 5
2025-06-25 06:50:29 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 5 → 5
2025-06-25 06:50:30 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 200 real candles for SOLUSDT
2025-06-25 06:50:30 | INFO     | backend.core.signal_processor | 📊 Generating signals for SOLUSDT 5
2025-06-25 06:50:30 | INFO     | backend.core.trading_engine | SOLUSDT: Покупка: 3, Продажа: 4, Удержание: 4
2025-06-25 06:50:30 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BNBUSDT 5
2025-06-25 06:50:30 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 5 → 5
2025-06-25 06:50:30 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 200 real candles for BNBUSDT
2025-06-25 06:50:30 | INFO     | backend.core.signal_processor | 📊 Generating signals for BNBUSDT 5
2025-06-25 06:50:30 | INFO     | backend.core.trading_engine | BNBUSDT: Покупка: 2, Продажа: 5, Удержание: 4
2025-06-25 06:50:30 | ERROR    | backend.core.trading_engine | Неизвестный режим торговли: moderate
2025-06-25 06:50:30 | ERROR    | backend.core.trading_engine | ❌ Не удалось рассчитать TP/SL для BNBUSDT, сделка не будет открыта!
2025-06-25 06:50:31 | INFO     | backend.integrations.bybit_client | 💰 Fetching real wallet balance...
2025-06-25 06:50:32 | INFO     | backend.integrations.bybit_client | ✅ Retrieved real balance: {'BTC': {'available': 0.0, 'locked': 0.0, 'total': 5.991e-05}, 'ETH': {'available': 0.0, 'locked': 0.0, 'total': 0.00267785}, 'USDT': {'available': 0.0, 'locked': 0.0, 'total': 6934.8791385}, 'BNB': {'available': 0.0, 'locked': 0.0, 'total': 0.02168264}}
2025-06-25 06:50:32 | INFO     | backend.integrations.bybit_client | 📈 Fetching real positions...
2025-06-25 06:50:32 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 0 active positions
2025-06-25 06:50:32 | INFO     | backend.core.signal_processor | 📊 Generating signals for BTCUSDT 5
2025-06-25 06:50:32 | INFO     | backend.core.signal_processor | 📊 Generating signals for ETHUSDT 5
2025-06-25 06:50:32 | INFO     | backend.core.signal_processor | 📊 Generating signals for SOLUSDT 5
2025-06-25 06:50:32 | INFO     | backend.core.signal_processor | 📊 Generating signals for BNBUSDT 5
2025-06-25 06:50:37 | INFO     | backend.integrations.bybit_client | 💰 Fetching real wallet balance...
2025-06-25 06:50:37 | INFO     | backend.integrations.bybit_client | ✅ Retrieved real balance: {'BTC': {'available': 0.0, 'locked': 0.0, 'total': 5.991e-05}, 'ETH': {'available': 0.0, 'locked': 0.0, 'total': 0.00267785}, 'USDT': {'available': 0.0, 'locked': 0.0, 'total': 6934.8791385}, 'BNB': {'available': 0.0, 'locked': 0.0, 'total': 0.02168264}}
2025-06-25 06:50:37 | INFO     | backend.integrations.bybit_client | 📈 Fetching real positions...
2025-06-25 06:50:38 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 0 active positions
2025-06-25 06:50:38 | INFO     | backend.core.signal_processor | 📊 Generating signals for BTCUSDT 5
2025-06-25 06:50:38 | INFO     | backend.core.signal_processor | 📊 Generating signals for ETHUSDT 5
2025-06-25 06:50:38 | INFO     | backend.core.signal_processor | 📊 Generating signals for SOLUSDT 5
2025-06-25 06:50:38 | INFO     | backend.core.signal_processor | 📊 Generating signals for BNBUSDT 5
2025-06-25 06:50:43 | INFO     | backend.integrations.bybit_client | 💰 Fetching real wallet balance...
2025-06-25 06:50:43 | INFO     | backend.integrations.bybit_client | ✅ Retrieved real balance: {'BTC': {'available': 0.0, 'locked': 0.0, 'total': 5.991e-05}, 'ETH': {'available': 0.0, 'locked': 0.0, 'total': 0.00267785}, 'USDT': {'available': 0.0, 'locked': 0.0, 'total': 6934.8791385}, 'BNB': {'available': 0.0, 'locked': 0.0, 'total': 0.02168264}}
