2025-07-18 22:57:31 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 5 → 5
2025-07-18 22:57:31 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for BTCUSDT
2025-07-18 22:57:31 | INFO     | backend.core.signal_processor | ✅ Generated 11 signals for BTCUSDT 5
2025-07-18 22:57:31 | INFO     | backend.core.signal_processor | 📊 Generating signals for BTCUSDT 5
2025-07-18 22:57:31 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BTCUSDT 5
2025-07-18 22:57:31 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 5 → 5
2025-07-18 22:57:32 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for BTCUSDT
2025-07-18 22:57:32 | INFO     | backend.core.signal_processor | ✅ Generated 11 signals for BTCUSDT 5
2025-07-18 22:57:32 | INFO     | backend.core.signal_processor | 📊 Generating detailed signals for ETHUSDT 5
2025-07-18 22:57:32 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for ETHUSDT 5
2025-07-18 22:57:32 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 5 → 5
2025-07-18 22:57:32 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for ETHUSDT
2025-07-18 22:57:32 | INFO     | backend.core.signal_processor | ✅ Generated 11 detailed signals for ETHUSDT 5
2025-07-18 22:57:32 | INFO     | backend.core.signal_processor | 📊 Generating signals for ETHUSDT 5
2025-07-18 22:57:32 | INFO     | backend.core.signal_processor | 📊 Generating signals for ETHUSDT 5
2025-07-18 22:57:32 | INFO     | backend.core.signal_processor | 📊 Generating detailed signals for SOLUSDT 5
2025-07-18 22:57:32 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for SOLUSDT 5
2025-07-18 22:57:32 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 5 → 5
2025-07-18 22:57:33 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for SOLUSDT
2025-07-18 22:57:33 | INFO     | backend.core.signal_processor | ✅ Generated 11 detailed signals for SOLUSDT 5
2025-07-18 22:57:33 | INFO     | backend.core.signal_processor | 📊 Generating signals for SOLUSDT 5
2025-07-18 22:57:33 | INFO     | backend.core.signal_processor | 📊 Generating signals for SOLUSDT 5
2025-07-18 22:57:33 | INFO     | backend.core.signal_processor | 📊 Generating detailed signals for BNBUSDT 5
2025-07-18 22:57:33 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BNBUSDT 5
2025-07-18 22:57:33 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 5 → 5
2025-07-18 22:57:33 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for BNBUSDT
2025-07-18 22:57:33 | INFO     | backend.core.signal_processor | ✅ Generated 11 detailed signals for BNBUSDT 5
2025-07-18 22:57:33 | INFO     | backend.core.signal_processor | 📊 Generating signals for BNBUSDT 5
2025-07-18 22:57:33 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BNBUSDT 5
2025-07-18 22:57:33 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 5 → 5
2025-07-18 22:57:34 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for BNBUSDT
2025-07-18 22:57:34 | INFO     | backend.core.signal_processor | ✅ Generated 11 signals for BNBUSDT 5
2025-07-18 22:57:34 | INFO     | backend.core.signal_processor | 📊 Generating signals for BNBUSDT 5
2025-07-18 22:57:34 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BNBUSDT 5
2025-07-18 22:57:34 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 5 → 5
2025-07-18 22:57:34 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for BNBUSDT
2025-07-18 22:57:34 | INFO     | backend.core.signal_processor | ✅ Generated 11 signals for BNBUSDT 5
2025-07-18 22:57:39 | INFO     | backend.integrations.bybit_client | 💰 Fetching real wallet balance...
2025-07-18 22:57:40 | INFO     | backend.integrations.bybit_client | ✅ Retrieved real balance: {'USDT': {'available': 0.0, 'locked': 0.0, 'total': 10653.97973099}, 'BNB': {'available': 0.0, 'locked': 0.0, 'total': 8.264e-05}}
2025-07-18 22:57:40 | INFO     | backend.integrations.bybit_client | 📈 Fetching real positions...
2025-07-18 22:57:41 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 0 active positions
2025-07-18 22:57:41 | INFO     | backend.core.signal_processor | 📊 Generating detailed signals for BTCUSDT 5
2025-07-18 22:57:41 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BTCUSDT 5
2025-07-18 22:57:41 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 5 → 5
2025-07-18 22:57:41 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for BTCUSDT
2025-07-18 22:57:41 | INFO     | backend.core.signal_processor | ✅ Generated 11 detailed signals for BTCUSDT 5
2025-07-18 22:57:41 | INFO     | backend.core.signal_processor | 📊 Generating signals for BTCUSDT 5
2025-07-18 22:57:41 | INFO     | backend.core.signal_processor | 📊 Generating signals for BTCUSDT 5
2025-07-18 22:57:41 | INFO     | backend.core.signal_processor | 📊 Generating detailed signals for ETHUSDT 5
2025-07-18 22:57:41 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for ETHUSDT 5
2025-07-18 22:57:41 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 5 → 5
2025-07-18 22:57:42 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for ETHUSDT
2025-07-18 22:57:42 | INFO     | backend.core.signal_processor | ✅ Generated 11 detailed signals for ETHUSDT 5
2025-07-18 22:57:42 | INFO     | backend.core.signal_processor | 📊 Generating signals for ETHUSDT 5
2025-07-18 22:57:42 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for ETHUSDT 5
2025-07-18 22:57:42 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 5 → 5
2025-07-18 22:57:42 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for ETHUSDT
2025-07-18 22:57:42 | INFO     | backend.core.signal_processor | ✅ Generated 11 signals for ETHUSDT 5
2025-07-18 22:57:42 | INFO     | backend.core.signal_processor | 📊 Generating signals for ETHUSDT 5
2025-07-18 22:57:42 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for ETHUSDT 5
2025-07-18 22:57:42 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 5 → 5
2025-07-18 22:57:43 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 100 real candles for ETHUSDT
2025-07-18 22:57:43 | INFO     | backend.core.signal_processor | ✅ Generated 11 signals for ETHUSDT 5
